record_id,material_name,fold_id,train_positive_rows,train_background_rows,test_positive_rows,test_background_rows,train_spatial_groups,test_spatial_groups,train_test_groups_disjoint,purge_distance_km,minimum_test_positive_to_training_positive_km,test_sentinel_complete_rate,baseline_roc_auc,sentinel2_roc_auc,delta_roc_auc,baseline_average_precision,sentinel2_average_precision,baseline_recall_at_background_top5pct,sentinel2_recall_at_background_top5pct,experiment_version
S2-ABL-GOLD-F1,Gold,1,12,797,2,202,228,57,True,50.00000000,216.90306525,0.98529412,0.20297030,0.14851485,-0.05445545,0.00916875,0.00844073,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-GOLD-F2,Gold,2,12,790,2,209,228,57,True,50.00000000,151.85635387,0.95260664,0.76794258,0.41148325,-0.35645933,0.03095238,0.01648228,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-GOLD-F3,Gold,3,8,803,6,196,231,54,True,50.00000000,83.28720839,0.97029703,0.71938776,0.56292517,-0.15646259,0.08299482,0.03834595,0.16666667,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-GOLD-F4,Gold,4,13,793,1,206,226,58,True,50.00000000,83.28720839,0.93719807,0.83495146,0.73786408,-0.09708738,0.02857143,0.01818182,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-GOLD-F5,Gold,5,11,812,3,187,226,59,True,50.00000000,193.04128855,0.97368421,0.23351159,0.44741533,0.21390374,0.01320271,0.01845446,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-SILVER-F1,Silver,1,15,822,5,178,231,59,True,50.00000000,82.56615404,0.96721311,0.78089888,0.76179775,-0.01910112,0.19833333,0.26701262,0.20000000,0.20000000,sentinel2-spatial-ablation-v0.1
S2-ABL-SILVER-F2,Silver,2,15,782,4,217,234,56,True,50.00000000,86.24381621,0.95475113,0.74423963,0.88479263,0.14055300,0.10011694,0.08802839,0.50000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-SILVER-F3,Silver,3,17,811,2,189,233,57,True,50.00000000,63.00246496,0.97382199,0.95238095,0.96560847,0.01322751,0.14090909,0.19090909,1.00000000,1.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-SILVER-F4,Silver,4,13,786,7,211,233,57,True,50.00000000,167.26829095,0.95871560,0.21394719,0.46648612,0.25253893,0.02209865,0.03394737,0.00000000,0.00000000,sentinel2-spatial-ablation-v0.1
S2-ABL-SILVER-F5,Silver,5,18,792,2,205,229,61,True,50.00000000,82.56615404,0.96618357,0.54878049,0.66097561,0.11219512,0.04417582,0.09068627,0.00000000,0.50000000,sentinel2-spatial-ablation-v0.1
