record_id,state_or_ut,block_name,mineral_source,normalized_material_ids_json,auction_date,concession_type_code,ibm_area_ha,review_scope,curated_candidate_count,document_selection_rule,document_match_status,selected_mbs_file_id,selected_mbs_title,selected_mbs_url,selected_mbs_pdf_sha256,selected_mbs_pdf_bytes,selected_mbs_pdf_page_count,mbs_area_ha,ibm_to_mbs_area_difference_pct,geometry_admission_status,geometry_admission_reason,source_portal_url,source_access_date,model_evidence_role,model_exclusion_reason
IBM-IMYB2024-AUCTION-031,Madhya Pradesh,Bhilapar Manganese Ore & Dolomite Block(10A2b Case),Manganese Ore & Dolomite,"[""element:manganese"",""mineral:dolomite""]",2023-09-05,CL,9.037,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-032,Madhya Pradesh,Dhamani Nana Manganese Ore Block*(10A2b Case),Manganese Ore,"[""element:manganese""]",2023-09-08,CL,4.7,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-033,Madhya Pradesh,Guvali Manganese Ore Block*(10A2b Case),Manganese Ore,"[""element:manganese""]",2023-09-05,CL,4.61,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-034,Madhya Pradesh,Katangjhari Manganese Ore Block*(10A2b Case),Manganese Ore,"[""element:manganese""]",2023-09-08,CL,5.101,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-035,Madhya Pradesh,Lingaponar Manganese Ore Block(10A2b Case),Manganese Ore,"[""element:manganese""]",2023-09-11,CL,9.712,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-036,Madhya Pradesh,Naganwat-Chhoti Manganese Ore Block*(10A2b Case),Manganese Ore,"[""element:manganese""]",2023-09-08,CL,11.86,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-037,Madhya Pradesh,Uberao Manganese Ore Block*,Manganese Ore,"[""element:manganese""]",2023-09-06,CL,4.68,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-038,Madhya Pradesh,Bamanbardi Limestone Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]",2023-09-05,CL,913.3954,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-039,Madhya Pradesh,Doter Guvali Manganese Ore Block,Manganese Ore,"[""element:manganese""]",2023-09-09,CL,736.4,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-040,Madhya Pradesh,East of Dabri Limestone Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]",2023-09-08,CL,815.0,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-041,Madhya Pradesh,Garhi-Upcha Limestone Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]",2023-09-09,CL,1001.95,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-042,Madhya Pradesh,Nawapara Rampura Manganese Ore Block,Manganese Ore,"[""element:manganese""]",2023-09-11,CL,725.7,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-043,Madhya Pradesh,Piploda Phosphorite Block,Phosphorite,"[""element:phosphorus"",""ore:phosphorite""]",2023-09-05,CL,464.0,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-044,Madhya Pradesh,Shitalpani Copper Block*,Copper,"[""element:copper""]",2023-09-09,CL,220.971,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-045,Madhya Pradesh,Siluwa and Jhansi Iron Ore Block,Iron Ore,"[""element:iron"",""ore:iron-ore""]",2023-09-13,ML,4.59,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-046,Madhya Pradesh,Modri Phosphorite Block,Phosphorite,"[""element:phosphorus"",""ore:phosphorite""]",2023-09-13,CL,699.55,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-047,Madhya Pradesh,Pindrai Iron Ore Block,Iron Ore,"[""element:iron"",""ore:iron-ore""]",2023-09-14,ML,6.0,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-048,Madhya Pradesh,Makra Block,Graphite Vanadium,"[""mineral:graphite"",""element:vanadium""]",2023-09-14,CL,37.5,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-049,Maharashtra,DevalmariKatepalli Limestone Block,Limestone,"[""group:calcium-and-limestone"",""rock:limestone""]",2023-05-09,ML,537.54,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-050,Maharashtra,Surjagad – 1 Iron Ore Block,Iron Ore,"[""element:iron"",""ore:iron-ore""]",2023-05-09,CL,1526.0,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-051,Maharashtra,Surjagad – 2 Iron Ore Block,Iron Ore,"[""element:iron"",""ore:iron-ore""]",2023-05-09,CL,886.0,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
IBM-IMYB2024-AUCTION-052,Maharashtra,Surjagad – 3 Iron Ore Block,Iron Ore,"[""element:iron"",""ore:iron-ore""]",2023-05-09,CL,640.0,not_reviewed_alpha_9,0,,not_reviewed_in_this_release,,,,,,,,,withheld_not_reviewed,No curated document match was reviewed in this release.,https://www.mstcecommerce.com/auctionhome/mlcl/index.jsp,2026-09-10,context_only,State MBS and IBM auction context do not independently verify current operation or present legal status.
